Person_ID,First_Seen,Last_Seen,Duration_sec
1,2025-11-13 09:30:41,2025-11-13 09:30:59,18.78
4,2025-11-13 10:06:47,2025-11-13 10:07:08,21.03
1,2025-11-13 10:06:41,2025-11-13 10:07:32,50.46
10,2025-11-13 10:07:16,2025-11-13 10:07:32,15.3
9,2025-11-13 10:10:55,2025-11-13 10:11:01,6.16
12,2025-11-13 10:10:57,2025-11-13 10:11:06,9.14
14,2025-11-13 10:11:02,2025-11-13 10:11:07,5.83
16,2025-11-13 10:14:12,2025-11-13 10:14:23,11.15
6,2025-11-13 14:26:18,2025-11-13 14:26:29,11.09
14,2025-11-13 14:26:33,2025-11-13 14:27:54,81.18
24,2025-11-13 14:27:44,2025-11-13 14:28:07,23.45
33,2025-11-13 14:28:30,2025-11-13 14:28:41,11.14
49,2025-11-13 14:29:07,2025-11-13 14:29:42,34.77
19,2025-11-13 14:27:21,2025-11-13 14:30:00,158.56
58,2025-11-13 14:29:55,2025-11-13 14:30:15,20.79
66,2025-11-13 14:30:06,2025-11-13 14:30:43,36.67
3,Unknown,2025-11-13 14:40:38,2025-11-13 14:40:45,7.26
1,Unknown,2025-11-13 14:40:26,2025-11-13 14:41:00,34.42
5,F0002,2025-11-13 14:40:44,2025-11-13 14:41:15,31.57
8,F0002,2025-11-13 14:41:24,2025-11-13 14:41:42,18.39
9,F0003,2025-11-13 14:41:44,2025-11-13 14:42:08,23.91
6,F0002,2025-11-13 14:41:16,2025-11-13 14:42:08,52.35
13,F0002,2025-11-13 14:42:10,2025-11-13 14:42:27,16.98
15,F0002,2025-11-13 14:42:30,2025-11-13 14:43:37,67.02
18,F0006,2025-11-13 14:43:52,2025-11-13 14:44:07,15.63
